Ticker,Name,AssetClass,Sector,SEDOL,ISIN,Exchange
EXPE,EXPEDIA GROUP INC,Equity,Consumer Discretionary,B748CK2,US30212P3038,NASDAQ
ZEN,ZENDESK INC,Equity,Information Technology,BMH0MR7,US98936J1016,New York Stock Exchange Inc.
MPWR,MONOLITHIC POWER SYSTEMS INC,Equity,Information Technology,B01Z7J1,US6098391054,NASDAQ
DRI,DARDEN RESTAURANTS INC,Equity,Consumer Discretionary,2289874,US2371941053,New York Stock Exchange Inc.
ATUS,ALTICE USA INC CLASS A,Equity,Communication,BDRY7P9,US02156K1034,New York Stock Exchange Inc.
SIRI,SIRIUS XM HOLDINGS INC,Equity,Communication,BGLDK10,US82968B1035,NASDAQ
TECH,BIO TECHNE CORP,Equity,Health Care,BSHZ3Q0,US09073M1045,NASDAQ
HOLX,HOLOGIC INC,Equity,Health Care,2433530,US4364401012,NASDAQ
POOL,POOL CORP,Equity,Consumer Discretionary,2781585,US73278L1052,NASDAQ
GWRE,GUIDEWIRE SOFTWARE INC,Equity,Information Technology,B7JYSG3,US40171V1008,New York Stock Exchange Inc.
TTC,TORO,Equity,Industrials,2897040,US8910921084,New York Stock Exchange Inc.
NDSN,NORDSON CORP,Equity,Industrials,2641838,US6556631025,NASDAQ
PPG,PPG INDUSTRIES INC,Equity,Materials,2698470,US6935061076,New York Stock Exchange Inc.
SRPT,SAREPTA THERAPEUTICS INC,Equity,Health Care,B8DPDT7,US8036071004,NASDAQ
ALLE,ALLEGION PLC,Equity,Industrials,BFRT3W7,IE00BFRT3W74,New York Stock Exchange Inc.
CHRW,CH ROBINSON WORLDWIDE INC,Equity,Industrials,2116228,US12541W2098,NASDAQ
AZPN,ASPEN TECHNOLOGY INC,Equity,Information Technology,2051868,US0453271035,NASDAQ
TROW,T ROWE PRICE GROUP INC,Equity,Financials,2702337,US74144T1088,NASDAQ
ABMD,ABIOMED INC,Equity,Health Care,2003698,US0036541003,NASDAQ
CHE,CHEMED CORP,Equity,Health Care,2190084,US16359R1032,New York Stock Exchange Inc.
MOH,MOLINA HEALTHCARE INC,Equity,Health Care,2212706,US60855R1005,New York Stock Exchange Inc.
FFIV,F5 NETWORKS INC,Equity,Information Technology,2427599,US3156161024,NASDAQ
CABO,CABLE ONE INC,Equity,Communication,BZ07DS4,US12685J1051,New York Stock Exchange Inc.
ENTG,ENTEGRIS INC,Equity,Information Technology,2599700,US29362U1043,NASDAQ
OMC,OMNICOM GROUP INC,Equity,Communication,2279303,US6819191064,New York Stock Exchange Inc.
PTC,PTC INC,Equity,Information Technology,B95N910,US69370C1009,NASDAQ
LII,LENNOX INTERNATIONAL INC,Equity,Industrials,2442053,US5261071071,New York Stock Exchange Inc.
APD,AIR PRODUCTS AND CHEMICALS INC,Equity,Materials,2011602,US0091581068,New York Stock Exchange Inc.
CRL,CHARLES RIVER LABORATORIES INTERNA,Equity,Health Care,2604336,US1598641074,New York Stock Exchange Inc.
IONS,IONIS PHARMACEUTICALS INC,Equity,Health Care,BDJ0LS6,US4622221004,NASDAQ
HII,HUNTINGTON INGALLS INDUSTRIES INC,Equity,Industrials,B40SSC9,US4464131063,New York Stock Exchange Inc.
COLD,AMERICOLD REALTY TRUST,Equity,Real Estate,B3SKZK7,US03064D1081,New York Stock Exchange Inc.
CSL,CARLISLE COMPANIES INC,Equity,Industrials,2176318,US1423391002,New York Stock Exchange Inc.
LYV,LIVE NATION ENTERTAINMENT INC,Equity,Communication,B0T7YX2,US5380341090,New York Stock Exchange Inc.
HEIA,HEICO CORP CLASS A,Equity,Industrials,2237561,US4228062083,New York Stock Exchange Inc.
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Equity,Communication,2122117,US8740541094,NASDAQ
WYNN,WYNN RESORTS LTD,Equity,Consumer Discretionary,2963811,US9831341071,NASDAQ
OLED,UNIVERSAL DISPLAY CORP,Equity,Information Technology,2277880,US91347P1057,NASDAQ
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS I,Equity,Consumer Discretionary,B7MJWP2,US1091941005,New York Stock Exchange Inc.
HUBS,HUBSPOT INC,Equity,Information Technology,BR4T3B3,US4435731009,New York Stock Exchange Inc.
ODFL,OLD DOMINION FREIGHT LINE INC,Equity,Industrials,2656423,US6795801009,NASDAQ
WBC,WABCO HOLDINGS INC,Equity,Industrials,B23CNQ3,US92927K1025,New York Stock Exchange Inc.
MRNA,MODERNA INC,Equity,Health Care,BGSXTS3,US60770K1079,NASDAQ
PFPT,PROOFPOINT INC,Equity,Information Technology,B6VDQC3,US7434241037,NASDAQ
MDB,MONGODB INC CLASS A,Equity,Information Technology,BF2FJ99,US60937P1066,NASDAQ
G,GENPACT LTD,Equity,Information Technology,B23DBK6,BMG3922B1072,New York Stock Exchange Inc.
K,KELLOGG,Equity,Consumer Staples,2486813,US4878361082,New York Stock Exchange Inc.
